batter,name,primary_slot,games_started,slot_share,g_slot1,g_slot2,g_slot3,g_slot4,g_slot5,g_slot6,g_slot7,g_slot8,g_slot9
702284,Cole Young,8,87,0.2988505747126437,9,0,0,0,4,18,13,26,17
695578,James Wood,1,87,1.0,87,0,0,0,0,0,0,0,0
624413,Pete Alonso,4,87,0.6091954022988506,0,0,34,53,0,0,0,0,0
670541,Yordan Álvarez,2,86,0.872093023255814,0,75,11,0,0,0,0,0,0
683002,Gunnar Henderson,2,86,0.6976744186046512,26,60,0,0,0,0,0,0,0
666182,Bo Bichette,2,86,0.627906976744186,11,54,15,6,0,0,0,0,0
677594,Julio Rodríguez,3,86,0.5232558139534884,0,41,45,0,0,0,0,0,0
621493,Taylor Ward,1,86,0.7093023255813954,61,25,0,0,0,0,0,0,0
547180,Bryce Harper,3,85,0.9529411764705882,0,4,81,0,0,0,0,0,0
691718,Pete Crow-Armstrong,1,85,0.36470588235294116,31,4,0,8,0,3,2,29,8
666176,Jo Adell,6,85,0.3764705882352941,0,0,18,15,19,32,1,0,0
572233,Christian Walker,4,85,0.4823529411764706,0,0,25,41,16,0,3,0,0
646240,Rafael Devers,4,85,0.6470588235294118,0,18,4,55,8,0,0,0,0
683737,Michael Busch,3,84,0.30952380952380953,7,18,26,2,13,14,4,0,0
695734,Daylen Lile,6,84,0.38095238095238093,0,4,6,16,25,32,1,0,0
682985,Riley Greene,4,84,0.6309523809523809,0,0,8,53,19,4,0,0,0
681624,Andy Pages,2,84,0.35714285714285715,0,30,6,6,9,8,19,6,0
669364,Xavier Edwards,1,84,0.32142857142857145,27,18,3,27,2,0,7,0,0
701398,Sal Stewart,4,84,0.6428571428571429,0,4,24,54,2,0,0,0,0
701762,Nick Kurtz,2,84,0.40476190476190477,32,34,18,0,0,0,0,0,0
645277,Ozzie Albies,4,83,0.3614457831325301,0,14,21,30,6,12,0,0,0
608324,Alex Bregman,3,83,0.40963855421686746,0,32,34,15,2,0,0,0,0
607208,Trea Turner,1,83,0.7710843373493976,64,19,0,0,0,0,0,0,0
687263,Zach Neto,1,83,0.963855421686747,80,0,1,0,0,2,0,0,0
621566,Matt Olson,3,83,0.7469879518072289,0,0,62,21,0,0,0,0,0
518692,Freddie Freeman,3,83,0.5301204819277109,0,20,44,16,3,0,0,0,0
663538,Nico Hoerner,1,83,0.5783132530120482,48,8,0,1,6,14,6,0,0
656305,Matt Chapman,3,83,0.26506024096385544,5,9,22,3,16,9,19,0,0
682928,Cj Abrams,4,82,0.7682926829268293,0,0,2,63,11,6,0,0,0
641355,Cody Bellinger,4,82,0.5,0,2,38,41,1,0,0,0,0
805808,Kevin Mcgonigle,1,82,0.5609756097560976,46,27,5,0,0,4,0,0,0
668804,Bryan Reynolds,3,82,1.0,0,0,82,0,0,0,0,0,0
682998,Corbin Carroll,2,82,0.6585365853658537,0,54,28,0,0,0,0,0,0
671056,Iván Herrera,2,82,1.0,0,82,0,0,0,0,0,0,0
592518,Manny Machado,4,82,0.573170731707317,0,2,33,47,0,0,0,0,0
672960,Kazuma Okamoto,4,82,0.4634146341463415,0,3,4,38,16,3,18,0,0
672640,Otto Lopez,3,82,0.3780487804878049,3,26,31,7,15,0,0,0,0
677587,Brayan Rocchio,9,82,0.7560975609756098,0,3,9,0,0,3,5,0,62
691406,Junior Caminero,2,82,0.4146341463414634,0,34,25,23,0,0,0,0,0
677800,Wilyer Abreu,3,82,0.6463414634146342,0,0,53,10,18,1,0,0,0
575929,Willson Contreras,4,81,0.7160493827160493,0,18,5,58,0,0,0,0,0
642715,Willy Adames,1,81,0.38271604938271603,31,1,0,12,9,27,1,0,0
672695,Geraldo Perdomo,3,81,0.5555555555555556,10,16,45,0,1,6,3,0,0
656941,Kyle Schwarber,2,81,0.7407407407407407,21,60,0,0,0,0,0,0,0
663586,Austin Riley,5,81,0.32098765432098764,0,0,0,19,26,26,10,0,0
664023,Ian Happ,4,81,0.43209876543209874,0,1,17,35,24,2,2,0,0
621020,Dansby Swanson,9,81,0.6049382716049383,0,0,0,0,1,11,12,8,49
665487,Fernando Tatís,1,81,0.5308641975308642,43,34,0,1,3,0,0,0,0
607043,Brandon Nimmo,1,81,0.48148148148148145,39,6,21,15,0,0,0,0,0
677951,Bobby Witt,2,80,1.0,0,80,0,0,0,0,0,0,0
647304,Josh Naylor,4,80,0.575,0,0,31,46,3,0,0,0,0
665489,Vladimir Guerrero,3,80,0.8125,1,14,65,0,0,0,0,0,0
701538,Jackson Merrill,3,80,0.3875,11,13,31,5,9,9,2,0,0
543760,Marcus Semien,7,80,0.3375,1,0,0,3,14,26,27,8,1
679529,Spencer Torkelson,5,80,0.35,0,0,1,3,28,14,28,6,0
669394,Jake Burger,4,80,0.4625,0,0,2,37,16,10,12,3,0
521692,Salvador Pérez,4,80,0.775,0,0,4,62,4,10,0,0,0
691023,Jordan Walker,4,79,0.7215189873417721,0,0,15,57,2,3,1,1,0
663656,Kyle Tucker,4,79,0.27848101265822783,2,21,2,22,14,15,3,0,0
668227,Randy Arozarena,5,79,0.5189873417721519,1,0,8,29,41,0,0,0,0
593428,Xander Bogaerts,5,79,0.5443037974683544,1,6,3,9,43,15,2,0,0
668930,Brice Turang,3,79,0.4177215189873418,19,27,33,0,0,0,0,0,0
678246,Miguel Vargas,3,79,0.5443037974683544,6,26,43,2,2,0,0,0,0
805300,Jakob Marsee,1,79,0.3924050632911392,31,0,7,0,12,14,14,1,0
701358,Cam Smith,6,79,0.3924050632911392,0,0,0,0,19,31,21,8,0
