batter,name,team,pa,avg,obp,p_1b,p_2b,p_3b,p_hr,p_bb,p_k,p_dp,p_out,p_sf,p_sh,sb_rate,cs_rate
695578,James Wood,Washington,411,0.265,0.389,0.11435523114355231,0.051094890510948905,0.0,0.0535279805352798,0.17031630170316303,0.30413625304136255,0.0072992700729927005,0.2944038929440389,0.004866180048661801,0.0,0.1111111111111111,0.017094017094017096
621493,Taylor Ward,Baltimore,400,0.25,0.378,0.1475,0.045,0.0,0.0125,0.1725,0.2125,0.0175,0.385,0.0075,0.0,0.015625,0.015625
683002,Gunnar Henderson,Baltimore,399,0.227,0.298,0.12030075187969924,0.040100250626566414,0.005012531328320802,0.040100250626566414,0.092731829573935,0.22807017543859648,0.007518796992481203,0.46365914786967416,0.002506265664160401,0.0,0.07058823529411765,0.047058823529411764
608324,Alex Bregman,Chicago,391,0.24,0.34,0.15601023017902813,0.028132992327365727,0.0025575447570332483,0.017902813299232736,0.13554987212276215,0.15601023017902813,0.023017902813299233,0.47058823529411764,0.010230179028132993,0.0,0.017543859649122806,0.008771929824561403
701762,Nick Kurtz,Athletics,389,0.279,0.422,0.13367609254498714,0.038560411311053984,0.002570694087403599,0.04884318766066838,0.19794344473007708,0.3059125964010283,0.012853470437017995,0.2596401028277635,0.0,0.0,0.05426356589147287,0.007751937984496124
683737,Michael Busch,Chicago,386,0.235,0.368,0.12176165803108809,0.03626943005181347,0.0051813471502590676,0.02849740932642487,0.17616580310880825,0.22797927461139897,0.010362694300518135,0.3860103626943005,0.007772020725388601,0.0,0.017391304347826087,0.0
663538,Nico Hoerner,Chicago,385,0.24,0.317,0.14805194805194805,0.05454545454545454,0.0,0.01038961038961039,0.10389610389610393,0.07532467532467532,0.01818181818181818,0.5792207792207792,0.01038961038961039,0.0,0.12371134020618557,0.020618556701030927
624413,Pete Alonso,Baltimore,380,0.247,0.339,0.12368421052631579,0.039473684210526314,0.0,0.05,0.12631578947368416,0.24736842105263157,0.021052631578947368,0.3815789473684211,0.010526315789473684,0.0,0.021052631578947368,0.0
687263,Zach Neto,Los Angeles,379,0.227,0.322,0.10026385224274406,0.044854881266490766,0.005277044854881266,0.047493403693931395,0.12401055408970973,0.32189973614775724,0.005277044854881266,0.3482849604221636,0.002638522427440633,0.0,0.12941176470588237,0.08235294117647059
670541,Yordan Alvarez,Houston,379,0.319,0.433,0.15303430079155672,0.04221635883905013,0.0,0.06860158311345646,0.16886543535620058,0.17150395778364116,0.005277044854881266,0.38522427440633245,0.005277044854881266,0.0,0.00819672131147541,0.0
691718,Pete Crow-Armstrong,Chicago,378,0.287,0.374,0.15343915343915343,0.03439153439153439,0.010582010582010581,0.05026455026455026,0.1243386243386243,0.25925925925925924,0.005291005291005291,0.3544973544973545,0.005291005291005291,0.0026455026455026454,0.2,0.047619047619047616
666182,Bo Bichette,New York,378,0.25,0.296,0.16666666666666666,0.03439153439153439,0.0026455026455026454,0.026455026455026454,0.06613756613756616,0.18783068783068782,0.023809523809523808,0.47883597883597884,0.013227513227513227,0.0,0.011363636363636364,0.0
677594,Julio Rodríguez,Seattle,377,0.259,0.321,0.15915119363395225,0.03978779840848806,0.0,0.03713527851458886,0.08488063660477452,0.20954907161803712,0.01856763925729443,0.4482758620689655,0.002652519893899204,0.0,0.13043478260869565,0.03260869565217391
668804,Bryan Reynolds,Pittsburgh,377,0.28,0.395,0.14588859416445624,0.05305039787798409,0.005305039787798408,0.029177718832891247,0.1618037135278514,0.22281167108753316,0.010610079575596816,0.3660477453580902,0.005305039787798408,0.0,0.04310344827586207,0.0
607208,Trea Turner,Philadelphia,376,0.239,0.287,0.15691489361702127,0.0398936170212766,0.0,0.026595744680851064,0.06382978723404253,0.22606382978723405,0.010638297872340425,0.4734042553191489,0.0026595744680851063,0.0,0.1927710843373494,0.024096385542168676
671056,Iván Herrera,St. Louis,374,0.252,0.39,0.13636363636363635,0.0374331550802139,0.00267379679144385,0.026737967914438502,0.1871657754010695,0.15775401069518716,0.02406417112299465,0.42245989304812837,0.0053475935828877,0.0,0.04132231404958678,0.0
805808,Kevin McGonigle,Detroit,373,0.282,0.391,0.16353887399463807,0.04825737265415549,0.00804289544235925,0.01876675603217158,0.15281501340482573,0.13941018766756033,0.005361930294906166,0.46380697050938335,0.0,0.0,0.09322033898305085,0.0
681624,Andy Pages,Los Angeles,372,0.271,0.328,0.14516129032258066,0.053763440860215055,0.002688172043010753,0.043010752688172046,0.08333333333333337,0.1989247311827957,0.021505376344086023,0.4381720430107527,0.013440860215053764,0.0,0.09411764705882353,0.07058823529411765
656941,Kyle Schwarber,Philadelphia,371,0.252,0.367,0.10512129380053908,0.02425876010781671,0.0026954177897574125,0.08086253369272237,0.1536388140161724,0.3423180592991914,0.0026954177897574125,0.2857142857142857,0.0026954177897574125,0.0,0.020833333333333332,0.0
701398,Sal Stewart,Cincinnati,369,0.257,0.341,0.13008130081300814,0.051490514905149054,0.0,0.04336043360433604,0.11653116531165308,0.2140921409214092,0.024390243902439025,0.41192411924119243,0.008130081300813009,0.0,0.12087912087912088,0.03296703296703297
660271,Shohei Ohtani,Los Angeles,369,0.291,0.406,0.14363143631436315,0.04065040650406504,0.005420054200542005,0.04878048780487805,0.1707317073170732,0.23035230352303523,0.013550135501355014,0.33604336043360433,0.01084010840108401,0.0,0.05263157894736842,0.017543859649122806
695734,Daylen Lile,Washington,368,0.25,0.304,0.14673913043478262,0.051630434782608696,0.008152173913043478,0.021739130434782608,0.07608695652173914,0.16847826086956522,0.01358695652173913,0.5027173913043478,0.010869565217391304,0.0,0.08536585365853659,0.06097560975609756
518692,Freddie Freeman,Los Angeles,367,0.294,0.384,0.15258855585831063,0.05994550408719346,0.0027247956403269754,0.03814713896457766,0.13079019073569476,0.16076294277929154,0.02997275204359673,0.41689373297002724,0.008174386920980926,0.0,0.028846153846153848,0.0
665487,Fernando Tatis Jr.,San Diego,367,0.28,0.342,0.19346049046321526,0.04087193460490463,0.0027247956403269754,0.013623978201634877,0.08991825613079019,0.1989100817438692,0.01907356948228883,0.4250681198910082,0.013623978201634877,0.0027247956403269754,0.18269230769230768,0.08653846153846154
