team,baseline_rpg,best_rpg,delta_rpg,p_value,n_padded,baseline_order,best_order,baseline_ids,best_ids,best_from_slots
CIN,4.0204,4.1177,0.0973,0.0004,0,TJ Friedl|Matt McLain|Elly De La Cruz|Sal Stewart|Eugenio Suárez|Spencer Steer|Tyler Stephenson|Blake Dunn|JJ Bleday,Sal Stewart|Matt McLain|Elly De La Cruz|JJ Bleday|Blake Dunn|Spencer Steer|Tyler Stephenson|Eugenio Suárez|TJ Friedl,670770|680574|682829|701398|553993|668715|663886|694362|668709,701398|680574|682829|668709|694362|668715|663886|553993|670770,4|2|3|9|8|6|7|5|1
MIA,4.329,4.4209,0.0919,0.00215,0,Jakob Marsee|Otto Lopez|Kyle Stowers|Xavier Edwards|Heriberto Hernández|Owen Caissie|Connor Norby|Javier Sanoja|Liam Hicks,Xavier Edwards|Liam Hicks|Kyle Stowers|Otto Lopez|Heriberto Hernández|Owen Caissie|Connor Norby|Jakob Marsee|Javier Sanoja,805300|672640|669065|669364|681715|683357|681393|691594|689414,669364|689414|669065|672640|681715|683357|681393|805300|691594,4|9|3|2|5|6|7|1|8
PIT,4.651,4.7396,0.0886,1e-05,0,Oneil Cruz|Brandon Lowe|Bryan Reynolds|Ryan O\'Hearn|Nick Gonzales|Marcell Ozuna|Spencer Horwitz|Konnor Griffin|Henry Davis,Spencer Horwitz|Oneil Cruz|Bryan Reynolds|Ryan O\'Hearn|Nick Gonzales|Brandon Lowe|Marcell Ozuna|Henry Davis|Konnor Griffin,665833|664040|668804|656811|693304|542303|687462|804606|680779,687462|665833|668804|656811|693304|664040|542303|680779|804606,7|1|3|4|5|2|6|9|8
BOS,3.5309,3.6117,0.0808,0.01588,0,Jarren Duran|Ceddanne Rafaela|Wilyer Abreu|Willson Contreras|Trevor Story|Caleb Durbin|Marcelo Mayer|Carlos Narváez|Masataka Yoshida,Masataka Yoshida|Marcelo Mayer|Wilyer Abreu|Willson Contreras|Ceddanne Rafaela|Caleb Durbin|Trevor Story|Carlos Narváez|Jarren Duran,680776|678882|677800|575929|596115|702332|691785|665966|807799,807799|691785|677800|575929|678882|702332|596115|665966|680776,9|7|3|4|2|6|5|8|1
ATH,4.4487,4.5281,0.0793,0.02722,0,Nick Kurtz|Shea Langeliers|Tyler Soderstrom|Brent Rooker|Jacob Wilson|Lawrence Butler|Max Muncy|Jeff McNeil|Zack Gelof,Nick Kurtz|Tyler Soderstrom|Zack Gelof|Shea Langeliers|Jacob Wilson|Lawrence Butler|Max Muncy|Brent Rooker|Jeff McNeil,701762|669127|691016|667670|805779|671732|691777|643446|680869,701762|691016|680869|669127|805779|671732|691777|667670|643446,1|3|9|2|5|6|7|4|8
SF,4.1036,4.18,0.0764,0.01007,0,Willy Adames|Luis Arraez|Casey Schmitt|Rafael Devers|Jung Hoo Lee|Bryce Eldridge|Matt Chapman|Patrick Bailey|Drew Gilbert,Bryce Eldridge|Luis Arraez|Casey Schmitt|Jung Hoo Lee|Willy Adames|Patrick Bailey|Rafael Devers|Matt Chapman|Drew Gilbert,642715|650333|669477|646240|808982|805811|656305|672275|687551,805811|650333|669477|808982|642715|672275|646240|656305|687551,6|2|3|5|1|8|4|7|9
AZ,3.9321,4.0078,0.0757,0.08541,0,Ketel Marte|Corbin Carroll|Geraldo Perdomo|Nolan Arenado|Ildemaro Vargas|Lourdes Gurriel Jr.|Jose Fernandez|Adrian Del Castillo|Gabriel Moreno,Gabriel Moreno|Corbin Carroll|Ketel Marte|Geraldo Perdomo|Ildemaro Vargas|Jose Fernandez|Nolan Arenado|Adrian Del Castillo|Lourdes Gurriel Jr.,606466|682998|672695|571448|545121|666971|699912|680728|672515,672515|682998|606466|672695|545121|699912|571448|680728|666971,9|2|1|3|5|7|4|8|6
SEA,4.3889,4.4578,0.0689,0.01217,1,J.P. Crawford|Cal Raleigh|Julio Rodríguez|Josh Naylor|Randy Arozarena|Luke Raley|Dominic Canzone|Cole Young|LeagueAvg,J.P. Crawford|Dominic Canzone|Luke Raley|Julio Rodríguez|Randy Arozarena|Cole Young|LeagueAvg|Josh Naylor|Cal Raleigh,641487|663728|677594|647304|668227|670042|686527|702284|None,641487|686527|670042|677594|668227|702284|None|647304|663728,1|7|6|3|5|8|9|4|2
CLE,3.9999,4.0675,0.0676,0.00166,0,Steven Kwan|Chase DeLauter|José Ramírez|Kyle Manzardo|Daniel Schneemann|Angel Martínez|Travis Bazzana|Brayan Rocchio|Rhys Hoskins,José Ramírez|Chase DeLauter|Kyle Manzardo|Travis Bazzana|Brayan Rocchio|Angel Martínez|Daniel Schneemann|Steven Kwan|Rhys Hoskins,680757|800050|608070|700932|682177|682657|683953|677587|656555,608070|800050|700932|683953|677587|682657|682177|680757|656555,3|2|4|7|8|6|5|1|9
NYY,4.6105,4.6714,0.061,0.46496,0,Trent Grisham|Ben Rice|Cody Bellinger|Paul Goldschmidt|Jazz Chisholm Jr.|José Caballero|Austin Wells|Ryan McMahon|Aaron Judge,Aaron Judge|Ben Rice|Cody Bellinger|Paul Goldschmidt|Jazz Chisholm Jr.|José Caballero|Ryan McMahon|Trent Grisham|Austin Wells,663757|700250|641355|502671|665862|676609|669224|641857|592450,592450|700250|641355|502671|665862|676609|641857|663757|669224,9|2|3|4|5|6|8|1|7
KC,3.9332,3.9932,0.0601,0.15965,0,Maikel Garcia|Bobby Witt Jr.|Vinnie Pasquantino|Salvador Perez|Carter Jensen|Jac Caglianone|Isaac Collins|Michael Massey|Kyle Isbel,Jac Caglianone|Maikel Garcia|Isaac Collins|Bobby Witt Jr.|Vinnie Pasquantino|Michael Massey|Carter Jensen|Salvador Perez|Kyle Isbel,672580|677951|686469|521692|695600|695506|686555|686681|664728,695506|672580|686555|677951|686469|686681|695600|521692|664728,6|1|7|2|3|8|5|4|9
COL,4.8024,4.862,0.0596,0.00364,0,Jake McCarthy|Mickey Moniak|TJ Rumfield|Hunter Goodman|Troy Johnston|Willi Castro|Kyle Karros|Ezequiel Tovar|Edouard Julien,Troy Johnston|Kyle Karros|Jake McCarthy|Mickey Moniak|TJ Rumfield|Willi Castro|Hunter Goodman|Ezequiel Tovar|Edouard Julien,664983|666160|681198|696100|687859|650489|691720|678662|666397,687859|691720|664983|666160|681198|650489|696100|678662|666397,5|7|1|2|3|6|4|8|9
TOR,4.1516,4.2068,0.0552,0.42244,0,George Springer|Nathan Lukes|Vladimir Guerrero Jr.|Kazuma Okamoto|Ernie Clement|Daulton Varsho|Myles Straw|Andrés Giménez|Brandon Valenzuela,Vladimir Guerrero Jr.|Kazuma Okamoto|Daulton Varsho|Nathan Lukes|George Springer|Ernie Clement|Andrés Giménez|Myles Straw|Brandon Valenzuela,543807|664770|665489|672960|676391|662139|664702|665926|678218,665489|672960|662139|664770|543807|676391|665926|664702|678218,3|4|6|2|1|5|8|7|9
